region,center-type,center-lang,name,link
BC,Service Canada Centre,Services offered in English and French,Abbotsford Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5944&lang=eng
BC,Service Canada Centre,Services offered in English and French,Chilliwack Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5942&lang=eng
BC,Service Canada Centre,Services offered in English and French,Comox Valley Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5921&lang=eng
BC,Service Canada Centre,Services offered in English and French,Kamloops Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5986&lang=eng
BC,Service Canada Centre,Services offered in English and French,Nanaimo Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5988&lang=eng
BC,Service Canada Centre,Services offered in English and French,Penticton Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5978&lang=eng
BC,Service Canada Centre,Services offered in English and French,Prince George Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5994&lang=eng
BC,Service Canada Centre,Services offered in English and French,Vancouver (West Broadway) Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5823&lang=eng
BC,Service Canada Centre,Services offered in English,Burnaby Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5907&lang=eng
BC,Service Canada Centre,Services offered in English,Campbell River Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5920&lang=eng
BC,Service Canada Centre,Services offered in English,Coquitlam Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5947&lang=eng
BC,Service Canada Centre,Services offered in English,Cowichan Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5918&lang=eng
BC,Service Canada Centre,Services offered in English,Cranbrook Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5977&lang=eng
BC,Service Canada Centre,Services offered in English,Dawson Creek Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5996&lang=eng
BC,Service Canada Centre,Services offered in English,Langley Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5952&lang=eng
BC,Service Canada Centre,Services offered in English,Nelson Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5972&lang=eng
BC,Service Canada Centre,Services offered in English,New Westminster Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5940&lang=eng
BC,Service Canada Centre,Services offered in English,North Vancouver - North Shore Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5911&lang=eng
BC,Service Canada Centre,Services offered in English,Port Alberni Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5919&lang=eng
BC,Service Canada Centre,Services offered in English,Powell River Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5913&lang=eng
BC,Service Canada Centre,Services offered in English,Prince Rupert Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5991&lang=eng
BC,Service Canada Centre,Services offered in English,Quesnel Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5424&lang=eng
BC,Service Canada Centre,Services offered in English,Richmond Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5912&lang=eng
BC,Service Canada Centre,Services offered in English,Ridge Meadows Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5150&lang=eng
BC,Service Canada Centre,Services offered in English,Salmon Arm Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5351&lang=eng
