region,page-header,link,address
BC,Abbotsford Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5944&lang=eng,"32525 Simon Avenue, Suite 100
Abbotsford, British Columbia
V2T6T6"
BC,Chilliwack Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5942&lang=eng,"100 - 9345 Main Street
Chilliwack, British Columbia
V2P4M3"
BC,Comox Valley Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5921&lang=eng,"130 19th Street
Courtenay, British Columbia
V9N8S1"
BC,Kamloops Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5986&lang=eng,"520 Seymour Street, Floor 1
Kamloops, British Columbia
V2C2G9"
BC,Nanaimo Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5988&lang=eng,"60 Front Street, Suite 201
Nanaimo, British Columbia
V9R5H7"
BC,Penticton Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5978&lang=eng,"386 Ellis Street, Suite 101
Penticton, British Columbia
V2A8C9"
BC,Prince George Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5994&lang=eng,"1363 4th Avenue
Prince George, British Columbia
V2L3J6"
BC,Vancouver (West Broadway) Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5823&lang=eng,"1263 West Broadway
Vancouver, British Columbia
V6H1G7"
BC,Burnaby Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5907&lang=eng,"3480 Gilmore Way, Suite 100
Burnaby, British Columbia
V5G4Y1"
BC,Campbell River Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5920&lang=eng,"950 Alder Street, Suite 101
Campbell River, British Columbia
V9W2P8"
BC,Coquitlam Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5947&lang=eng,"2963 Glen Drive , Suite 100
Coquitlam, British Columbia
V3B2P7"
BC,Cowichan Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5918&lang=eng,"104-2951 Green Road
Duncan, British Columbia
V9L0B9"
BC,Cranbrook Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5977&lang=eng,"1113 Baker Street, Suite 250
Cranbrook, British Columbia
V1C1A7"
BC,Dawson Creek Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5996&lang=eng,"1508 102nd Avenue, Suite 103
Dawson Creek, British Columbia
V1G2E2"
BC,Langley Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5952&lang=eng,"8747 204th Street, Suite 102
Langley, British Columbia
V1M2Y5"
BC,Nelson Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5972&lang=eng,"Chahko Mika Mall , Floor Main
1125 Lakeside Drive
Nelson, British Columbia
V1L5Z3"
BC,New Westminster Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5940&lang=eng,"620 Royal Avenue, Floor 2, Suite 201
New Westminster, British Columbia
V3M1J2"
BC,North Vancouver - North Shore Service Canada Centre,https://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=5911&lang=eng,"221 Esplanade West, Office 100
North Vancouver, British Columbia
V7M3N7"
